year,month,online_sale_offers,weekend,morning,evening,night,product_name,item_price,category,total_amount,publication,profit_inr,cost_price,profit_per_unit
2018,2,0,1,1,0,0,8,200,1,285,126,34,166,34
2018,2,0,0,1,0,0,181,899,0,984,98,116,782,116
2018,2,0,0,0,1,0,94,576,1,661,29,97,478,97
2018,2,0,0,0,1,0,150,308,0,393,84,40,267,40
2018,2,0,0,0,0,1,59,910,0,995,65,118,791,118
2018,2,0,0,1,0,0,39,576,1,661,121,97,478,97
2018,2,0,0,1,0,0,88,775,0,860,113,100,674,100
2018,2,0,0,1,0,0,14,565,0,650,98,73,491,73
2018,2,0,0,0,1,0,189,645,0,730,100,83,561,83
2018,2,0,0,0,1,0,24,723,0,808,96,93,629,93
2018,2,0,0,0,1,0,24,723,0,808,96,93,629,93
2018,2,0,0,0,0,1,84,959,2,1044,80,172,786,172
2018,2,0,0,1,0,0,39,576,1,661,121,97,478,97
2018,2,0,0,1,0,0,120,430,1,515,43,73,356,73
2018,2,0,0,0,0,0,48,385,0,470,40,50,334,50
2018,2,0,0,0,0,0,48,385,0,470,40,50,334,50
2018,2,0,0,1,0,0,215,494,0,579,64,64,429,64
2018,2,0,0,0,0,0,189,645,0,730,100,83,561,83
2018,2,0,0,0,0,0,48,385,0,470,40,50,334,50
2018,2,0,0,0,1,0,69,615,1,700,58,104,510,104
2018,2,0,0,0,1,0,69,615,1,700,58,104,510,104
2018,2,0,1,0,0,1,120,430,1,515,43,73,356,73
2018,2,0,1,1,0,0,39,576,1,661,121,97,478,97
2018,2,0,1,0,1,0,59,910,0,995,65,118,791,118
2018,2,0,1,0,1,0,189,645,0,730,100,83,561,83
2018,2,0,1,0,0,1,209,757,0,842,64,98,658,98
2018,2,0,1,1,0,0,39,576,1,661,121,97,478,97
2018,2,0,1,1,0,0,39,576,1,661,121,97,478,97
2018,2,0,1,1,0,0,39,576,1,661,121,97,478,97
2018,2,0,1,1,0,0,76,410,1,495,59,69,340,69
2018,2,0,1,0,0,0,39,576,1,661,121,97,478,97
2018,2,0,1,0,0,0,39,576,1,661,121,97,478,97
2018,2,0,1,0,0,0,39,576,1,661,121,97,478,97
2018,2,0,1,0,0,0,39,576,1,661,121,97,478,97
2018,2,0,1,0,0,0,48,385,0,470,40,50,334,50
2018,2,0,1,0,1,0,39,576,1,661,121,97,478,97
2018,2,0,1,0,0,1,68,610,1,695,124,103,506,103
2018,2,0,0,0,0,0,39,576,1,661,121,97,478,97
2018,2,0,0,0,0,0,39,576,1,661,121,97,478,97
2018,2,0,0,0,0,0,55,595,1,680,5,101,493,101
2018,2,0,0,0,0,0,55,1190,1,1360,5,202,987,101
2018,2,0,0,0,0,0,24,723,0,808,96,93,629,93
2018,2,0,0,0,1,0,57,999,0,1084,65,129,869,129
2018,2,0,0,0,1,0,39,576,1,661,121,97,478,97
2018,2,0,0,0,0,1,57,999,0,1084,65,129,869,129
2018,2,0,0,1,0,0,39,576,1,661,121,97,478,97
2018,2,0,0,1,0,0,120,430,1,515,43,73,356,73
2018,2,1,0,1,0,0,14,565,0,650,98,73,491,73
2018,2,1,0,0,0,0,57,999,0,1084,65,129,869,129
2018,2,1,0,0,0,0,195,465,0,550,122,60,404,60
2018,2,1,0,1,0,0,39,1152,1,1322,121,195,956,97
2018,2,0,0,1,0,0,47,425,0,510,33,55,369,55
2018,2,0,0,0,1,0,24,723,0,808,96,93,629,93
2018,2,0,1,0,1,0,209,757,0,842,64,98,658,98
2018,2,0,1,1,0,0,186,425,0,510,99,55,369,55
2018,2,0,1,1,0,0,177,600,1,685,5,102,498,102
2018,2,0,1,1,0,0,177,600,1,685,5,102,498,102
2018,2,0,1,1,0,0,177,600,1,685,5,102,498,102
2018,2,0,1,0,0,0,177,600,1,685,5,102,498,102
2018,2,0,0,0,0,1,189,645,0,730,100,83,561,83
2018,2,0,0,1,0,0,21,230,1,315,6,39,190,39
2018,2,0,0,0,0,0,24,723,0,808,96,93,629,93
2018,2,0,0,0,1,0,39,576,1,661,121,97,478,97
2018,2,0,0,0,0,1,19,725,1,810,31,123,601,123
2018,2,0,0,1,0,0,24,723,0,893,96,93,629,93
2018,2,0,0,0,1,0,39,576,1,661,121,97,478,97
2018,2,0,0,0,1,0,39,576,1,661,121,97,478,97
2018,2,0,0,0,1,0,21,230,1,315,6,39,190,39
2018,2,0,0,0,1,0,39,576,1,661,121,97,478,97
2018,2,0,0,0,1,0,39,576,1,661,121,97,478,97
2018,2,0,0,0,1,0,87,315,0,400,10,40,274,40
2018,2,0,0,0,0,1,39,576,1,661,121,97,478,97
2018,2,0,0,0,0,1,24,723,0,808,96,93,629,93
2018,2,0,0,0,0,1,39,576,1,661,121,97,478,97
2018,2,0,0,0,0,1,77,450,1,535,59,76,373,76
2018,2,0,0,0,0,1,39,576,1,661,121,97,478,97
2018,2,0,0,0,0,1,39,576,1,661,121,97,478,97
2018,2,0,0,0,0,1,39,1152,1,1322,121,195,956,97
2018,2,0,0,0,0,1,39,576,1,661,121,97,478,97
2018,2,0,0,0,0,0,177,600,1,685,5,102,498,102
2018,2,0,0,0,1,0,39,576,1,661,121,97,478,97
2018,2,0,0,0,1,0,39,576,1,661,121,97,478,97
2018,2,0,0,0,0,1,39,576,1,661,121,97,478,97
2018,2,0,0,0,0,1,77,450,1,535,59,76,373,76
2018,2,0,0,1,0,0,39,1152,1,1322,121,195,956,97
2018,2,0,0,1,0,0,39,576,1,661,121,97,478,97
2018,2,0,0,1,0,0,39,1152,1,1322,121,195,956,97
2018,2,0,0,1,0,0,39,576,1,661,121,97,478,97
2018,2,0,0,1,0,0,39,576,1,661,121,97,478,97
2018,2,0,0,1,0,0,39,576,1,661,121,97,478,97
2018,2,0,0,0,0,0,189,645,0,730,100,83,561,83
2018,2,0,0,0,1,0,39,576,1,661,121,97,478,97
2018,2,0,0,0,0,1,24,723,0,808,96,93,629,93
2018,2,0,0,0,0,0,24,723,0,808,96,93,629,93
2018,2,0,0,0,0,0,74,690,1,775,59,117,572,117
2018,2,0,0,0,0,0,24,723,0,808,96,93,629,93
2018,2,0,1,0,0,1,11,768,1,853,5,130,637,130
2018,2,0,1,0,0,1,39,576,1,661,121,97,478,97
2018,2,0,1,0,0,0,39,576,1,661,121,97,478,97
2018,2,0,1,0,0,0,39,576,1,661,121,97,478,97
2018,2,0,1,0,0,0,39,576,1,661,121,97,478,97
2018,2,0,1,0,0,0,39,576,1,661,121,97,478,97
2018,2,0,1,0,0,0,39,2880,1,3305,121,489,2390,97
2018,2,0,1,0,0,0,39,576,1,661,121,97,478,97
2018,2,0,1,0,1,0,39,576,1,661,121,97,478,97
2018,2,0,1,0,1,0,39,576,1,661,121,97,478,97
2018,2,0,0,1,0,0,71,615,1,700,58,104,510,104
2018,2,0,0,1,0,0,39,576,1,661,121,97,478,97
2018,2,0,0,0,1,0,39,576,1,661,121,97,478,97
2018,2,0,0,1,0,0,15,509,0,594,93,66,442,66
2018,2,0,0,0,0,0,98,1480,0,1565,14,192,1287,192
2018,2,0,0,0,0,1,98,1480,0,1565,14,192,1287,192
2018,2,0,0,0,0,1,177,600,1,685,5,102,498,102
2018,2,0,0,1,0,0,39,576,1,661,121,97,478,97
2018,2,0,0,1,0,0,177,600,1,685,5,102,498,102
2018,2,0,0,0,0,0,177,600,1,685,5,102,498,102
2018,2,0,0,0,0,0,177,600,1,685,5,102,498,102
2018,2,0,0,0,0,0,177,600,1,685,5,102,498,102
2018,2,0,0,0,1,0,236,840,0,925,120,109,730,109
2018,3,1,0,0,0,1,24,723,0,808,96,93,629,93
2018,3,1,0,1,0,0,177,600,1,685,5,102,498,102
2018,3,1,0,1,0,0,39,576,1,661,121,97,478,97
2018,3,1,0,1,0,0,39,576,1,661,121,97,478,97
2018,3,1,0,1,0,0,24,723,0,808,96,93,629,93
2018,3,1,0,0,0,0,177,600,1,685,5,102,498,102
2018,3,1,0,0,0,0,48,385,0,470,40,50,334,50
2018,3,1,0,0,1,0,177,600,1,685,5,102,498,102
2018,3,1,0,0,1,0,177,600,1,685,5,102,498,102
2018,3,1,0,0,0,1,177,600,1,685,5,102,498,102
2018,3,1,0,0,0,1,195,465,0,550,122,60,404,60
2018,3,1,0,1,0,0,39,1152,1,1322,121,195,956,97
2018,3,1,0,1,0,0,177,600,1,685,5,102,498,102
2018,3,1,0,1,0,0,48,385,0,470,40,50,334,50
2018,3,1,0,1,0,0,177,600,1,685,5,102,498,102
2018,3,1,0,1,0,0,24,723,0,808,96,93,629,93
2018,3,1,1,1,0,0,48,385,0,470,40,50,334,50
2018,3,1,1,0,0,0,188,638,0,723,75,83,555,83
2018,3,1,1,0,1,0,196,615,1,700,3,104,510,104
2018,3,1,1,0,0,1,48,385,0,470,40,50,334,50
2018,3,1,1,0,0,1,16,780,0,865,104,101,678,101
2018,3,1,1,1,0,0,24,723,0,808,96,93,629,93
2018,3,1,1,1,0,0,236,840,0,925,120,109,730,109
2018,3,1,1,1,0,0,236,840,0,925,120,109,730,109
2018,3,1,1,1,0,0,236,840,0,925,120,109,730,109
2018,3,1,1,0,0,0,39,576,1,661,121,97,478,97
2018,3,1,1,0,0,0,24,723,0,808,96,93,629,93
2018,3,1,1,0,0,0,84,959,2,1044,80,172,786,172
2018,3,1,1,0,1,0,236,840,0,925,120,109,730,109
2018,3,1,0,1,0,0,236,840,0,925,120,109,730,109
2018,3,1,0,1,0,0,236,1680,0,1850,120,218,1461,109
2018,3,1,0,1,0,0,189,645,0,730,100,83,561,83
2018,3,1,0,0,0,0,236,840,0,925,120,109,730,109
2018,3,1,0,0,0,0,236,840,0,925,120,109,730,109
2018,3,1,0,0,0,0,236,840,0,925,120,109,730,109
2018,3,1,0,0,0,0,236,840,0,925,120,109,730,109
2018,3,1,0,0,1,0,8,200,1,285,126,34,166,34
2018,3,1,0,0,1,0,236,840,0,925,120,109,730,109
2018,3,1,0,0,1,0,24,723,0,808,96,93,629,93
2018,3,1,0,1,0,0,236,840,0,925,120,109,730,109
2018,3,1,0,1,0,0,236,840,0,925,120,109,730,109
2018,3,1,0,1,0,0,236,840,0,925,120,109,730,109
2018,3,1,0,0,0,0,214,545,0,630,93,70,474,70
2018,3,1,0,0,1,0,235,840,0,925,120,109,730,109
2018,3,1,0,0,1,0,189,645,0,730,100,83,561,83
2018,3,0,0,0,0,1,235,840,0,925,120,109,730,109
2018,3,0,0,0,0,1,235,840,0,925,120,109,730,109
2018,3,0,0,1,0,0,235,840,0,925,120,109,730,109
2018,3,0,0,1,0,0,235,840,0,925,120,109,730,109
2018,3,0,0,1,0,0,235,840,0,925,120,109,730,109
2018,3,0,0,1,0,0,48,385,0,470,40,50,334,50
2018,3,0,0,1,0,0,39,576,1,661,121,97,478,97
2018,3,0,0,1,0,0,24,723,0,808,96,93,629,93
2018,3,0,0,0,0,0,235,840,0,925,120,109,730,109
2018,3,0,0,0,1,0,235,840,0,925,120,109,730,109
2018,3,0,0,0,1,0,235,840,0,925,120,109,730,109
2018,3,0,0,0,1,0,235,840,0,925,120,109,730,109
2018,3,0,0,0,0,1,39,576,1,661,121,97,478,97
2018,3,0,0,0,0,1,39,576,1,661,121,97,478,97
2018,3,0,0,0,0,1,39,576,1,661,121,97,478,97
2018,3,0,0,0,0,1,79,780,0,865,0,101,678,101
2018,3,0,0,0,0,0,39,576,1,661,121,97,478,97
2018,3,0,0,0,0,0,235,840,0,925,120,109,730,109
2018,3,0,0,0,0,0,24,723,0,808,96,93,629,93
2018,3,0,0,0,0,0,39,576,1,661,121,97,478,97
2018,3,0,0,0,1,0,24,723,0,808,96,93,629,93
2018,3,0,0,0,1,0,235,840,0,925,120,109,730,109
2018,3,0,0,0,0,1,235,1680,0,1850,120,218,1461,109
2018,3,0,0,0,0,1,235,840,0,925,120,109,730,109
2018,3,0,0,0,0,1,235,840,0,925,120,109,730,109
2018,3,0,0,0,1,0,61,625,0,710,85,81,543,81
2018,3,0,0,0,1,0,24,723,0,808,96,93,629,93
2018,3,0,0,0,1,0,189,645,0,730,100,83,561,83
2018,3,0,0,0,1,0,92,175,1,260,49,29,145,29
2018,3,0,1,0,0,1,235,840,0,925,120,109,730,109
2018,3,0,1,0,0,1,92,175,1,260,49,29,145,29
2018,3,0,1,1,0,0,235,840,0,925,120,109,730,109
2018,3,0,1,0,0,0,15,509,0,594,93,66,442,66
2018,3,0,1,0,0,0,48,385,0,470,40,50,334,50
2018,3,0,1,0,0,0,234,485,0,570,98,63,421,63
2018,3,0,1,0,1,0,189,645,0,730,100,83,561,83
2018,3,0,1,0,0,1,92,175,1,260,49,29,145,29
2018,3,0,1,0,0,1,235,1680,0,1850,120,218,1461,109
2018,3,0,1,0,0,1,235,840,0,925,120,109,730,109
2018,3,0,1,0,0,1,235,840,0,925,120,109,730,109
2018,3,0,1,0,0,0,15,509,0,594,93,66,442,66
2018,3,0,1,0,0,0,189,645,0,730,100,83,561,83
2018,3,0,1,0,0,0,24,723,0,808,96,93,629,93
2018,3,0,0,0,0,1,57,999,0,1084,65,129,869,129
2018,3,0,0,1,0,0,235,840,0,925,120,109,730,109
2018,3,0,0,1,0,0,235,840,0,925,120,109,730,109
2018,3,0,0,1,0,0,235,840,0,925,120,109,730,109
2018,3,0,0,1,0,0,199,134,0,219,5,17,116,17
2018,3,0,0,1,0,0,15,509,0,594,93,66,442,66
2018,3,0,0,1,0,0,21,230,1,315,6,39,190,39
2018,3,0,0,0,0,0,24,723,0,808,96,93,629,93
2018,3,0,0,0,1,0,235,840,0,925,120,109,730,109
2018,3,0,0,0,1,0,79,780,0,865,0,101,678,101
2018,3,0,0,0,1,0,57,999,0,1084,65,129,869,129
2018,3,0,0,1,0,0,85,460,0,545,5,59,400,59
2018,3,0,0,1,0,0,189,645,0,730,100,83,561,83
2018,3,0,0,0,0,0,235,840,0,925,120,109,730,109
2018,3,0,0,0,0,0,85,460,0,545,5,59,400,59
2018,3,0,0,0,1,0,86,515,0,600,5,66,448,66
2018,3,0,0,0,1,0,86,515,0,600,5,66,448,66
2018,3,0,0,0,0,1,141,665,1,750,19,113,551,113
2018,3,0,0,0,0,1,93,634,1,719,59,107,526,107
2018,3,0,0,0,0,1,93,634,1,719,59,107,526,107
2018,3,0,0,0,0,1,235,840,0,925,120,109,730,109
2018,3,0,0,0,0,1,199,134,0,219,5,17,116,17
2018,3,0,0,0,0,1,199,134,0,219,5,17,116,17
2018,3,0,0,0,0,1,235,840,0,925,120,109,730,109
2018,3,0,0,0,0,1,93,634,1,719,59,107,526,107
2018,3,0,0,1,0,0,235,840,0,925,120,109,730,109
2018,3,0,0,1,0,0,93,634,1,719,59,107,526,107
2018,3,0,0,0,0,0,199,134,0,219,5,17,116,17
2018,3,0,0,0,0,0,189,645,0,730,100,83,561,83
2018,3,0,0,0,0,0,15,509,0,594,93,66,442,66
2018,3,0,0,0,1,0,199,134,0,219,5,17,116,17
2018,3,0,0,0,1,0,101,256,1,341,108,43,212,43
2018,3,0,0,0,1,0,93,634,1,719,59,107,526,107
2018,3,0,0,0,0,1,132,575,0,660,63,74,500,74
2018,3,0,0,0,0,1,118,499,1,584,66,84,414,84
2018,3,0,0,0,0,1,199,134,0,219,5,17,116,17
2018,3,0,0,1,0,0,199,134,0,219,5,17,116,17
2018,3,0,0,1,0,0,24,723,0,808,96,93,629,93
2018,3,0,1,0,0,1,48,385,0,470,40,50,334,50
2018,3,0,1,0,0,1,16,780,0,865,104,101,678,101
2018,3,0,1,1,0,0,57,999,0,1084,65,129,869,129
2018,3,0,1,1,0,0,4,175,1,260,5,29,145,29
2018,3,0,1,1,0,0,52,555,0,640,2,72,482,72
2018,3,0,1,1,0,0,24,723,0,808,96,93,629,93
2018,3,0,1,0,0,0,235,840,0,925,120,109,730,109
2018,3,0,1,0,0,0,235,840,0,925,120,109,730,109
2018,3,0,0,0,0,1,52,555,0,640,2,72,482,72
2018,3,0,0,0,0,1,235,840,0,925,120,109,730,109
2018,3,0,0,1,0,0,235,1680,0,1850,120,218,1461,109
2018,3,0,0,1,0,0,52,555,0,640,2,72,482,72
2018,3,0,0,1,0,0,235,840,0,925,120,109,730,109
2018,3,0,0,1,0,0,52,555,0,640,2,72,482,72
2018,3,0,0,1,0,0,15,509,0,594,93,66,442,66
2018,3,0,0,0,0,0,120,430,1,515,43,73,356,73
2018,3,0,0,0,0,0,235,840,0,925,120,109,730,109
2018,3,0,0,0,0,0,168,515,1,600,2,87,427,87
2018,3,0,0,0,0,1,177,600,1,685,5,102,498,102
2018,3,0,0,0,0,1,235,840,0,925,120,109,730,109
2018,3,0,0,0,0,1,235,840,0,925,120,109,730,109
2018,3,0,0,1,0,0,89,933,0,1018,98,121,811,121
2018,3,0,0,1,0,0,141,665,1,750,19,113,551,113
2018,3,0,0,1,0,0,15,509,0,594,93,66,442,66
2018,3,0,0,0,0,0,141,665,1,750,19,113,551,113
2018,3,0,0,0,0,0,52,555,0,640,2,72,482,72
2018,3,0,0,0,0,0,141,665,1,750,19,113,551,113
2018,3,0,0,0,0,0,141,665,1,750,19,113,551,113
2018,3,0,0,0,1,0,235,840,0,925,120,109,730,109
2018,3,0,0,0,1,0,48,385,0,470,40,50,334,50
2018,3,0,0,1,0,0,189,645,0,730,100,83,561,83
2018,3,0,0,0,1,0,247,550,2,635,118,99,451,99
2018,3,0,0,0,1,0,247,550,2,635,118,99,451,99
2018,3,0,0,1,0,0,24,723,0,808,96,93,629,93
2018,3,0,0,0,0,0,52,1110,0,1280,2,144,965,72
2018,3,0,0,0,0,0,52,555,0,640,2,72,482,72
2018,3,0,0,0,0,0,168,515,1,600,2,87,427,87
2018,3,0,0,0,0,1,235,840,0,925,120,109,730,109
2018,3,0,0,1,0,0,48,385,0,470,40,50,334,50
2018,3,0,0,0,1,0,235,840,0,925,120,109,730,109
2018,3,0,1,0,0,1,52,555,0,640,2,72,482,72
2018,3,0,1,1,0,0,52,555,0,640,2,72,482,72
2018,3,0,1,0,1,0,235,1680,0,1850,120,218,1461,109
2018,3,0,1,0,0,0,52,555,0,640,2,72,482,72
2018,3,0,1,0,0,0,52,555,0,640,2,72,482,72
2018,3,0,1,0,1,0,52,555,0,640,2,72,482,72
2018,3,0,1,0,1,0,53,410,0,495,2,53,356,53
2018,3,0,0,1,0,0,52,1110,0,1280,2,144,965,72
2018,3,0,0,0,0,0,189,645,0,730,100,83,561,83
2018,3,0,0,0,0,0,24,723,0,808,96,93,629,93
2018,3,0,0,0,1,0,25,595,0,680,107,77,517,77
2018,3,0,0,0,1,0,24,723,0,808,96,93,629,93
2018,3,0,0,0,0,1,16,780,0,865,104,101,678,101
2018,3,0,0,1,0,0,39,576,1,661,121,97,478,97
2018,3,0,0,0,0,0,48,385,0,470,40,50,334,50
2018,3,0,0,0,1,0,39,576,1,661,121,97,478,97
2018,3,0,0,0,0,1,235,840,0,925,120,109,730,109
2018,3,0,0,0,0,1,235,840,0,925,120,109,730,109
2018,3,0,0,0,0,0,52,555,0,640,2,72,482,72
2018,3,0,0,0,0,0,70,720,1,805,59,122,597,122
2018,3,0,0,0,1,0,24,723,0,808,96,93,629,93
2018,3,0,0,0,1,0,164,730,1,815,87,124,605,124
2018,3,0,0,0,1,0,164,1460,1,1630,87,248,1211,124
2018,3,0,0,0,1,0,57,999,0,1084,65,129,869,129
2018,3,0,0,0,0,1,39,576,1,661,121,97,478,97
2018,3,0,0,0,0,1,164,730,1,815,87,124,605,124
2018,3,0,0,1,0,0,164,730,1,815,87,124,605,124
2018,3,0,0,1,0,0,52,555,0,640,2,72,482,72
